Site,Good,Bad,State,Bad Tags
bannock/wells/well_3;BANNOCK_N_UNN_BL_1H,18,43,Needs work,
bannock/wells/well_4;BANNOCK_N_UNN_BL_3H,16,46,Needs work,
Pad Total (bannock):297
bedway/pad;BEDWAY_UNN_BL,50,7,Needs work,
bedway/wells/well_1;BEDWAY_N_UNN_BL_5H,28,11,Needs work,
bedway/wells/well_2;BEDWAY_N_UNN_BL_3H,25,14,Needs work,
bedway/wells/well_3;BEDWAY_N_UNN_BL_1H,25,14,Needs work,
Pad Total (bedway):189
beetle/pad;BEETLE_SHC_HR,64,1,Close,
beetle/wells/well_1;BEETLE_SHC_HR_3H,30,8,Needs work,
beetle/wells/well_2;BEETLE_SHC_HR_1H,20,16,Needs work,
Pad Total (beetle):152
bella/pad;BELLA_CDZ_HR,86,31,Needs work,
bella/wells/well_1;BELLA_SE_CDZ_HR_4H,37,6,Needs work,
bella/wells/well_2;BELLA_NE_CDZ_HR_5H,36,18,Needs work,
bella/wells/well_3;BELLA_SW_CDZ_HR_2H,36,20,Needs work,
bella/wells/well_4;BELLA_N_CDZ_HR_3H,36,18,Needs work,
bella/wells/well_5;BELLA_NW_CDZ_HR_1H,37,30,Needs work,
Pad Total (bella):436
bennington/pad;BENNINGTON,21,9,Needs work,
bennington/wells/well_1;BENNINGTON_UNIT_2H,19,3,Close,
bennington/wells/well_2;BENNINGTON_UNIT_B_4H,19,3,Close,
Pad Total (bennington):74
besece/pad;BESECE_MTP_JF,48,0,Perfect!,
besece/wells/well_1;BESECE_S_MTP_JF_2H,31,3,Close,
besece/wells/well_2;BESECE_W_MTP_JF_1H,35,4,Close,
besece/wells/well_3;BESECE_E_MTP_JF_3H,35,3,Close,
besece/wells/well_4;BESECE_E_MTP_JF_5H,32,3,Close,
Pad Total (besece):218
betts/pad;BETTS_LND_GR,108,13,Needs work,
betts/wells/well_1;BETTS_LND_GR_2H,45,16,Needs work,
betts/wells/well_2;BETTS_LND_GR_4H,39,11,Needs work,
betts/wells/well_3;BETTS_LND_GR_6H,43,13,Needs work,
betts/wells/well_4;BETTS_NE_LND_GR_7H,46,11,Needs work,
betts/wells/well_5;BETTS_N_LND_GR_5H,46,11,Needs work,
betts/wells/well_6;BETTS_NW_LND_GR_3H,46,11,Needs work,
betts/wells/well_7;BETTS_NW_LND_GR_1H,46,11,Needs work,
Pad Total (betts):584
bilinovich/pad;BILINOVICH_LND_GR,60,1,Close,
bilinovich/wells/well_1;BILINOVICH_E_LND_GR_8H,46,1,Close,
bilinovich/wells/well_2;BILINOVICH_E_LND_GR_6H,38,9,Needs work,
bilinovich/wells/well_3;BILINOVICH_W_LND_GR_4H,30,21,Needs work,
bilinovich/wells/well_4;BILINOVICH_W_LND_GR_2H,30,13,Needs work,
Pad Total (bilinovich):273
black_racer/pad;BLACK_RACER_LND_GR,64,20,Needs work,
black_racer/wells/well_1;BLACK_RACER_W_LND_GR_1H,37,2,Close,
black_racer/wells/well_2;BLACK_RACER_W_LND_GR_3H,26,12,Needs work,
black_racer/wells/well_3;BLACK_RACER_S_LND_GR_2H,25,15,Needs work,
black_racer/wells/well_4;BLACK_RACER_S_LND_GR_4H,27,15,Needs work,
Pad Total (black_racer):268
blayney/pad;BLAYNEY_WHL_BL,75,17,Needs work,
blayney/wells/well_1;BLAYNEY_E_WHL_BL_5H-A,38,2,Close,
blayney/wells/well_2;BLAYNEY_N_WHL_BL_3H,29,12,Needs work,
blayney/wells/well_3;BLAYNEY_W_WHL_BL_1H-A,30,11,Needs work,
blayney/wells/well_4;BLAYNEY_SW_WHL_BL_2H,24,9,Needs work,
blayney/wells/well_5;BLAYNEY_S_WHL_BL_4H,25,10,Needs work,
blayney/wells/well_6;BLAYNEY_SE_WHL_BL_6H,27,8,Needs work,
Pad Total (blayney):353
blessed/pad;BLESSED_RCH_BL,51,0,Perfect!,
blessed/wells/well_1;BLESSED_E_RCH_BL_9H,35,11,Needs work,
blessed/wells/well_2;BLESSED_E_RCH_BL_7H,27,19,Needs work,
blessed/wells/well_3;BLESSED_N_RCH_BL_5H,30,16,Needs work,
blessed/wells/well_4;BLESSED_W_RCH_BL_3H,30,13,Needs work,
blessed/wells/well_5;BLESSED_NW_RCH_BL_1H,29,14,Needs work,
Pad Total (blessed):300
borovich/pad;BOROVICH_RCH_BL,56,4,Close,
borovich/wells/well_1;BOROVICH_W_RCH_BL_1H,31,7,Needs work,
borovich/wells/well_2;BOROVICH_W_RCH_BL_3H,26,12,Needs work,
Pad Total (borovich):149
borum/pad;BORUM_SMF_JF,55,0,Perfect!,
borum/wells/well_1;BORUM_E_SMF_JF_6H,26,9,Needs work,
borum/wells/well_2;BORUM_E_SMF_JF_4H,26,9,Needs work,
borum/wells/well_3;BORUM_W_SMF_JF_2H,26,9,Needs work,
borum/wells/well_4;BORUM_NE_SMF_JF_5H,36,8,Needs work,
borum/wells/well_5;BORUM_N_SMF_JF_3H,35,9,Needs work,
borum/wells/well_6;BORUM_NW_SMF_JF_1H,26,10,Needs work,
Pad Total (borum):320
bouska/pad;BOUSKA_FRE_HR,0,0,Unable to Process!
bouska/wells/well_1;BOUSKA_NE_FRE_HR_13H,0,0,Unable to Process!
bouska/wells/well_2;BOUSKA_NE_FRE_HR_11H,0,0,Unable to Process!
bouska/wells/well_3;BOUSKA_N_FRE_HR_9H,0,0,Unable to Process!
bouska/wells/well_4;BOUSKA_N_FRE_HR_7H,0,0,Unable to Process!
Pad Total (bouska):0
bravo/pad;BRAVO_ATH_HR,0,57,Failed!,
bravo/wells/well_1;BRAVO_SW_ATH_HR_2H,46,10,Needs work,
bravo/wells/well_2;BRAVO_S_ATH_HR_4H,42,19,Needs work,
bravo/wells/well_3;BRAVO_SE_ATH_HR_6H,35,14,Needs work,
Pad Total (bravo):241
breeze/pad;BREEZE_RCH_BL,37,3,Close,
breeze/wells/well_1;BREEZE_W_RCH_BL_1H,29,14,Needs work,
breeze/wells/well_2;BREEZE_E_RCH_BL_3H,26,10,Needs work,
breeze/wells/well_3;BREEZE_E_RCH_BL_5H,26,10,Needs work,
Pad Total (breeze):173
brown/pad;BROWN_WSG_GR,0,53,Unable to Process!
brown/wells/well_1;BROWN_1-H,0,4,Unable to Process!
Pad Total (brown):0
bsa/pad;RH_BSA_NTG_HR,57,26,Needs work,
bsa/wells/well_1;RH_BSA_N_NTG_HR_1H,29,6,Needs work,
bsa/wells/well_2;RH_BSA_S_NTG_HR_2H,36,6,Needs work,
bsa/wells/well_3;RH_BSA_N_NTG_HR_3H,29,6,Needs work,
bsa/wells/well_4;RH_BSA_S_NTG_HR_4H,30,6,Needs work,
bsa/wells/well_5;RH_BSA_N_NTG_HR_5H,22,14,Needs work,
bsa/wells/well_6;RH_BSA_S_NTG_HR_6H,22,14,Needs work,
bsa/wells/well_7;RH_BSA_N_NTG_HR_7H,22,14,Needs work,
bsa/wells/well_8;RH_BSA_S_NTG_HR_8H,23,13,Needs work,
bsa/wells/well_9;RH_BSA_N_NTG_HR_9H,22,14,Needs work,
Pad Total (bsa):446
cadiz_a/pad;ACE_CDZ_HR,40,11,Needs work,
cadiz_a/wells/well_1;ACE_W_CDZ_HR_4H,12,0,Perfect!,
cadiz_a/wells/well_2;ACE_W_CDZ_HR_2H,13,0,Perfect!,
cadiz_a/wells/well_3;ACE_W_CDZ_HR_6H,13,0,Perfect!,
cadiz_a/wells/well_4;ACE_E_CDZ_HR_8H,13,0,Perfect!,
Pad Total (cadiz_a):102
cadiz_b/pad;BEACON_CDZ_HR,41,7,Needs work,
cadiz_b/wells/well_1;BEACON_CDZ_HR_2H,10,0,Perfect!,
cadiz_b/wells/well_2;BEACON_CDZ_HR_4H,10,0,Perfect!,
cadiz_b/wells/well_3;BEACON_CDZ_HR_6H,10,0,Perfect!,
cadiz_b/wells/well_4;BEACON_CDZ_HR_8H,10,0,Perfect!,
cadiz_b/wells/well_5;BEACON_CDZ_HR_10H,9,0,Perfect!,
Pad Total (cadiz_b):97
cadiz_c/pad;COBRA_CDZ_HR,36,8,Needs work,
cadiz_c/wells/well_1;COBRA_CDZ_HR_1H,19,0,Perfect!,
cadiz_c/wells/well_2;COBRA_CDZ_HR_3H,19,0,Perfect!,
cadiz_c/wells/well_3;COBRA_CDZ_HR_5H,19,0,Perfect!,
cadiz_c/wells/well_4;COBRA_CDZ_HR_7H,19,0,Perfect!,
cadiz_c/wells/well_5;COBRA_CDZ_HR_9H,18,0,Perfect!,
Pad Total (cadiz_c):138
cadiz_d/pad;DOMINO_CDZ_HR,9,87,Needs work,
cadiz_d/wells/well_1;DOMINO_CDZ_HR_2H-A,21,36,Needs work,
cadiz_d/wells/well_10;DOMINO_NW_CDZ_HR_1H,41,0,Unable to Process!
cadiz_d/wells/well_2;DOMINO_CDZ_HR_4H,21,0,Perfect!,
cadiz_d/wells/well_3;DOMINO_CDZ_HR_6H,21,0,Perfect!,
cadiz_d/wells/well_4;DOMINO_CDZ_HR_8H,21,0,Perfect!,
cadiz_d/wells/well_5;DOMINO_CDZ_HR_10H,21,0,Perfect!,
cadiz_d/wells/well_6;DOMINO_NE_CDZ_HR_7H-A,41,0,Unable to Process!
cadiz_d/wells/well_7;DOMINO_NE_CDZ_HR_9H,40,0,Unable to Process!
cadiz_d/wells/well_8;DOMINO_N_CDZ_HR_5H,39,0,Unable to Process!
cadiz_d/wells/well_9;DOMINO_NW_CDZ_HR_3H,40,0,Unable to Process!
Pad Total (cadiz_d):443
carlos/pad;CARLOS_RCH_BL,72,3,Close,
carlos/wells/well_1;CARLOS_W_RCH_BL_1H,31,10,Needs work,
carlos/wells/well_2;CARLOS_E_RCH_BL_3H,28,14,Needs work,
Pad Total (carlos):168
caston/pad;CASTON_LND_GR,145,85,Needs work,
caston/wells/well_1;CASTON_LND_GR_2H,10,28,Needs work,
caston/wells/well_2;CASTON_LND_GR_4H,36,4,Close,
caston/wells/well_3;CASTON_LND_GR_6H,0,39,Failed!,
caston/wells/well_4;CASTON_LND_GR_8H,47,0,Unable to Process!
caston/wells/well_5;CASTON_NW_LND_GR_1H,25,17,Needs work,
caston/wells/well_6;CASTON_NW_LND_GR_3H,26,17,Needs work,
caston/wells/well_7;CASTON_NE_LND_GR_5H,25,17,Needs work,
caston/wells/well_8;CASTON_NE_LND_GR_7H,25,17,Needs work,
Pad Total (caston):598
cecelia/pad;CECELIA_WEL_JF,49,2,Close,
cecelia/wells/well_1;CECELIA_SE_WEL_JF_8H,38,9,Needs work,
cecelia/wells/well_2;CECELIA_SE_WEL_JF_6H,36,12,Needs work,
cecelia/wells/well_3;CECELIA_SW_WEL_JF_4H,36,12,Needs work,
cecelia/wells/well_4;CECELIA_SW_WEL_JF_2H,25,19,Needs work,
Pad Total (cecelia):258
cena/pad;CENA_WYN_JF,54,0,Perfect!,
cena/wells/well_1;CENA_WYN_JF_4H,34,4,Close,
cena/wells/well_2;CENA_WYN_JF_2H,24,15,Needs work,
Pad Total (cena):143
cermak/pad;CERMAK_SMF_JF,48,2,Close,
cermak/wells/well_1;CERMAK_NE_SMF_JF_3H,30,14,Needs work,
