Site,Good,Bad,State,Bad Tags
donna/wells/well_2;DONNA_W_LND_GR_2H,29,8,Needs work,
donna/wells/well_3;DONNA_E_LND_GR_10H,16,20,Needs work,
donna/wells/well_4;DONNA_W_LND_GR_6H,1,35,Needs work,
donna/wells/well_5;DONNA_W_LND_GR_4H,24,13,Needs work,
donna/wells/well_6;DONNA_NW_LND_GR_1H,49,0,Unable to Process!
donna/wells/well_7;DONNA_NW_LND_GR_3H,49,0,Unable to Process!
donna/wells/well_8;DONNA_N_LND_GR_5H,49,0,Unable to Process!
donna/wells/well_9;DONNA_N_LND_GR_7H,50,0,Unable to Process!
Pad Total (donna):735
doyen/pad;DOYEN_WEL_JF,40,4,Close,
doyen/wells/well_1;DOYEN_NW_WEL_JF_1H,31,6,Needs work,
doyen/wells/well_2;DOYEN_SW_WEL_JF_2H,27,15,Needs work,
doyen/wells/well_3;DOYEN_NE_WEL_JF_3H,26,10,Needs work,
doyen/wells/well_4;DOYEN_SE_WEL_JF_4H,27,13,Needs work,
Pad Total (doyen):223
duke/pad;DUKE_SHC_HR,50,0,Perfect!,
duke/wells/well_1;DUKE_W_SHC_HR_1H,37,4,Close,
duke/wells/well_2;DUKE_SHC_HR_3H,36,5,Needs work,
duke/wells/well_3;DUKE_E_SHC_HR_5H,35,5,Needs work,
Pad Total (duke):187
dutton/pad;CHC_DUTTON_WHL_BL,45,23,Needs work,
dutton/wells/well_1;CHC_DUTTON_WHL_BL_4H,36,4,Close,
dutton/wells/well_2;CHC_DUTTON_WHL_BL_5H,36,4,Close,
dutton/wells/well_3;CHC_DUTTON_WHL_BL_11H,27,13,Needs work,
dutton/wells/well_4;CHC_DUTTON_WHL_BL_9H,12,28,Needs work,
dutton/wells/well_5;CHC_DUTTON_WHL_BL_6H,28,12,Needs work,
dutton/wells/well_6;CAPSTONE_HOLDINGS_2H-9,30,5,Needs work,
dutton/wells/well_7;CAPSTONE_HOLDINGS_3H-9,24,10,Needs work,
dutton/wells/well_8;WHEELING_A_5H-9,26,26,Needs work,
Pad Total (dutton):424
dwayne/pad;DWAYNE_GRN_HR,49,2,Close,
dwayne/wells/well_1;DWAYNE_GRN_HR_4H,26,6,Needs work,
dwayne/wells/well_2;DWAYNE_W_GRN_HR_2H,27,6,Needs work,
dwayne/wells/well_3;DWAYNE_E_GRN_HR_6H,27,6,Needs work,
Pad Total (dwayne):164
edington/pad;EDINGTON_ATH_HR,36,13,Needs work,
edington/wells/well_1;EDINGTON_W_ATH_HR_2H,37,3,Close,
edington/wells/well_2;EDINGTON_W_ATH_HR_4H,27,15,Needs work,
edington/wells/well_3;EDINGTON_E_ATH_HR_6H,20,21,Needs work,
Pad Total (edington):187
eggleston/pad;EGGLESTON_WLS_GR,71,29,Needs work,
eggleston/wells/well_1;EGGLESTON_WLS_GR_2H,38,22,Needs work,
eggleston/wells/well_2;EGGLESTON_WLS_GR_4H,30,26,Needs work,
Pad Total (eggleston):237
elite/pad;ELITE_MTP_JF,47,10,Needs work,
elite/wells/well_1;ELITE_W_MTP_JF_1H,34,5,Needs work,
elite/wells/well_2;ELITE_W_MTP_JF_3H,22,17,Needs work,
elite/wells/well_3;ELITE_E_MTP_JF_5H,20,19,Needs work,
Pad Total (elite):193
ellen/pad;ELLEN_MRF_HR,58,5,Needs work,
ellen/wells/well_1;ELLEN_S_MRF_HR_6H,36,2,Close,
ellen/wells/well_2;ELLEN_W_MRF_HR_2H,33,5,Needs work,
ellen/wells/well_3;ELLEN_E_MRF_HR_8H,31,7,Needs work,
Pad Total (ellen):195
emersyn/pad;EMERSYN_N_RCH_BL,68,5,Needs work,
emersyn/wells/well_1;EMERSYN_W_RCH_BL_1H,30,10,Needs work,
emersyn/wells/well_2;EMERSYN_E_RCH_BL_3H,29,11,Needs work,
Pad Total (emersyn):163
eureka/pad;EUREKA_SMT_BL,61,8,Needs work,
eureka/wells/well_1;SMITH_A_1H-12,27,11,Needs work,
eureka/wells/well_2;EUREKA_SMT_BL_6H-A,23,15,Needs work,
eureka/wells/well_3;EUREKA_SMT_BL_2H-A,22,15,Needs work,
Pad Total (eureka):197
faldowski/pad;FALDOWSKI_SMF_JF,38,0,Perfect!,
faldowski/wells/well_1;FALDOWSKI_SE_SMF_JF_6H,34,4,Close,
faldowski/wells/well_2;FALDOWSKI_SE_SMF_JF_4H,28,11,Needs work,
faldowski/wells/well_3;FALDOWSKI_N_SMF_JF_1H,22,17,Needs work,
faldowski/wells/well_4;FALDOWSKI_SW_SMF_JF_2H,23,16,Needs work,
Pad Total (faldowski):213
fauna/pad;FAUNA_WEL_JF,98,22,Needs work,
fauna/wells/well_1;FAUNA_W_WEL_JF_1H,35,12,Needs work,
fauna/wells/well_2;FAUNA_E_WEL_JF_3H,31,17,Needs work,
fauna/wells/well_3;FAUNA_MC_WEL_JF_M5H-A,24,18,Needs work,
Pad Total (fauna):272
ferguson/pad;FERGUSON_SMF_JF,50,4,Close,
ferguson/wells/well_1;FERGUSON_NE_SMF_JF_5H,35,10,Needs work,
ferguson/wells/well_2;FERGUSON_NE_SMF_JF_7H,30,14,Needs work,
Pad Total (ferguson):156
fleagane/pad;FLEAGANE_PLT_BL,45,14,Needs work,
fleagane/wells/well_1;FLEAGANE_SE_PLT_BL_8H,33,4,Close,
fleagane/wells/well_2;FLEAGANE_SE_PLT_BL_6H,31,7,Needs work,
fleagane/wells/well_3;FLEAGANE_SW_PLT_BL_4H,33,5,Needs work,
fleagane/wells/well_4;FLEAGANE_SW_PLT_BL_2H,31,7,Needs work,
fleagane/wells/well_5;FLEAGANE_NE_PLT_BL_7H,19,29,Needs work,
fleagane/wells/well_6;FLEAGANE_NE_PLT_BL_5H,19,30,Needs work,
fleagane/wells/well_7;FLEAGANE_N_PLT_BL_3H,22,26,Needs work,
fleagane/wells/well_8;FLEAGANE_NW_PLT_BL_1H,17,32,Needs work,
Pad Total (fleagane):444
flowback/pad;None,0,0,Unable to Process!
Pad Total (flowback):0
flushing_a/pad;ANCHOR_FLS_BL,36,8,Needs work,
flushing_a/wells/well_1;ANCHOR_FLS_BL_1H,18,0,Perfect!,
flushing_a/wells/well_2;ANCHOR_FLS_BL_3H,19,0,Perfect!,
flushing_a/wells/well_3;ANCHOR_FLS_BL_5H,19,0,Perfect!,
flushing_a/wells/well_4;ANCHOR_FLS_BL_7H,19,0,Perfect!,
flushing_a/wells/well_5;ANCHOR_FLS_BL_9H,19,0,Perfect!,
Pad Total (flushing_a):138
gabriel/pad;GABRIEL_WEL_JF,53,15,Needs work,
gabriel/wells/well_1;GABRIEL_SE_WEL_JF_4H,41,19,Needs work,
gabriel/wells/well_2;GABRIEL_NE_WEL_JF_3H,23,27,Needs work,
gabriel/wells/well_3;GABRIEL_SW_WEL_JF_2H,37,26,Needs work,
gabriel/wells/well_4;GABRIEL_NW_WEL_JF_1H,34,16,Needs work,
Pad Total (gabriel):321
geno/pad;GENO_SMF_JF,48,0,Perfect!,
geno/wells/well_1;GENO_W_SMF_JF_1H,36,2,Close,
geno/wells/well_2;GENO_SMF_JF_3H,31,7,Needs work,
geno/wells/well_3;GENO_E_SMF_JF_5H,33,14,Needs work,
Pad Total (geno):189
geoflo/pad;GEOFLO_WHL_BL,73,15,Needs work,
geoflo/wells/well_1;GEOFLO_WHL_BL_2H,34,10,Needs work,
geoflo/wells/well_2;GEOFLO_WHL_BL_4H,31,14,Needs work,
Pad Total (geoflo):187
gil/pad;GIL_LND_GR,105,12,Needs work,
gil/wells/well_1;BLACK_RACER_W_LND_GR_9H,43,7,Needs work,
gil/wells/well_2;GIL_NE_LND_GR_7H,41,17,Needs work,
gil/wells/well_3;GIL_NE_LND_GR_5H,31,27,Needs work,
gil/wells/well_4;GIL_NE_LND_GR_3H,32,18,Needs work,
gil/wells/well_5;GIL_NW_LND_GR_1H,13,37,Needs work,
Pad Total (gil):409
gilcher/pad;GILCHER_LND_GR,41,0,Perfect!,
gilcher/wells/well_1;GILCHER_N_LND_GR_1H,26,0,Perfect!,
gilcher/wells/well_2;GILCHER_S_LND_GR_2H,21,5,Needs work,
gilcher/wells/well_3;GILCHER_S_LND_GR_4H,17,9,Needs work,
gilcher/wells/well_4;GILCHER_S_LND_GR_6H,17,9,Needs work,
Pad Total (gilcher):169
gingerich/pad;GINGERICH_LND_GR,40,1,Close,
gingerich/wells/well_1;GINGERICH_S_LND_GR_6H,25,0,Perfect!,
gingerich/wells/well_2;GINGERICH_S_LND_GR_4H,20,5,Needs work,
gingerich/wells/well_3;GINGERICH_S_LND_GR_2H,16,9,Needs work,
Pad Total (gingerich):134
giusto/pad;GIUSTO_CRC_JF,52,8,Needs work,
giusto/wells/well_1;HAMMACK_W_CRC_JF_8H,32,3,Close,
giusto/wells/well_2;GIUSTO_E_CRC_JF_6H,30,14,Needs work,
giusto/wells/well_3;GIUSTO_E_CRC_JF_4H,21,14,Needs work,
giusto/wells/well_4;GIUSTO_W_CRC_JF_2H,10,24,Needs work,
Pad Total (giusto):233
gordon/pad;GORDON_CRC_JF,59,10,Needs work,
gordon/wells/well_1;GORDON_NW_CRC_JF_1H,36,2,Close,
gordon/wells/well_2;GORDON_N_CRC_JF_3H,30,7,Needs work,
gordon/wells/well_3;GORDON_SW_CRC_JF_2H,30,7,Needs work,
gordon/wells/well_4;GORDON_SE_CRC_JF_4H,30,7,Needs work,
gordon/wells/well_5;GORDON_SE_CRC_JF_6H,31,6,Needs work,
gordon/wells/well_6;POINTER_N_CRC_JF_9H,34,20,Needs work,
gordon/wells/well_7;POINTER_N_CRC_JF_7H,30,27,Needs work,
gordon/wells/well_8;POINTER_W_CRC_JF_5H,21,33,Needs work,
Pad Total (gordon):470
griswold/pad;GRISWOLD_WYN_JF,51,0,Perfect!,
griswold/wells/well_1;GRISWOLD_SE_WYN_JF_8H,32,4,Close,
griswold/wells/well_2;GRISWOLD_SE_WYN_JF_6H,30,7,Needs work,
griswold/wells/well_3;GRISWOLD_S_WYN_JF_4H,32,7,Needs work,
griswold/wells/well_4;GRISWOLD_SW_WYN_JF_2H,30,7,Needs work,
Pad Total (griswold):220
grywalski/pad;GRYWALSKI_MTP_JF,37,1,Close,
grywalski/wells/well_1;GRYWALSKI_W_MTP_JF_1H,39,4,Close,
grywalski/wells/well_2;GRYWALSKI_E_MTP_JF_3H,22,21,Needs work,
Pad Total (grywalski):134
hamilton/pad;RH_HAMILTON_MRF_HR,71,84,Needs work,
hamilton/wells/well_1;RH_HAMILTON_N_MRF_HR_1H,60,12,Needs work,
hamilton/wells/well_2;RH_HAMILTON_S_MRF_HR_2H,54,19,Needs work,
hamilton/wells/well_3;RH_HAMILTON_N_MRF_HR_3H,53,19,Needs work,
hamilton/wells/well_4;RH_HAMILTON_S_MRF_HR_4H,40,32,Needs work,
hamilton/wells/well_5;RH_HAMILTON_N_MRF_HR_5H,37,39,Needs work,
hamilton/wells/well_6;RH_HAMILTON_S_MRF_HR_6H,21,14,Needs work,
hamilton/wells/well_7;RH_HAMILTON_N_MRF_HR_7H,22,14,Needs work,
hamilton/wells/well_8;RH_HAMILTON_S_MRF_HR_8H,23,13,Needs work,
hamilton/wells/well_9;RH_HAMILTON_S_MRF_HR_10H,21,14,Needs work,
Pad Total (hamilton):738
hammack/pad;HAMMACK_CRC_JF,54,2,Close,
hammack/wells/well_1;HAMMACK_CRC_JF_2H,37,9,Needs work,
hammack/wells/well_2;HAMMACK_E_CRC_JF_4H,38,12,Needs work,
Pad Total (hammack):162
harr/pad;HARR_MTP_JF,52,4,Close,
harr/wells/well_1;HARR_W_MTP_JF_1H,33,3,Close,
harr/wells/well_2;HARR_W_MTP_JF_3H,23,14,Needs work,
harr/wells/well_3;HARR_E_MTP_JF_5H,23,14,Needs work,
Pad Total (harr):185
hastings/pad;HASTINGS_WHL_BL,34,12,Needs work,
hastings/wells/well_1;HASTINGS_WHL_BL_1H,38,7,Needs work,
hastings/wells/well_2;ECHO_S_ATH_HR_3H,20,30,Needs work,
Pad Total (hastings):156
heller/pad;HELLER,22,9,Needs work,
heller/wells/well_1;HELLER_UNIT_A_2H,19,3,Close,
heller/wells/well_2;HELLER_UNIT_B_6H,19,3,Close,
Pad Total (heller):75
henderson/pad;HENDERSON_RCH_BL,65,6,Needs work,
henderson/wells/well_1;HENDERSON_E_RCH_BL_6H,29,8,Needs work,
henderson/wells/well_2;HENDERSON_W_RCH_BL_4H,19,16,Needs work,
henderson/wells/well_3;HENDERSON_W_RCH_BL_2H,19,16,Needs work,
Pad Total (henderson):194
henry/pad;HENRY_LND_GR,61,0,Perfect!,
henry/wells/well_1;HENRY_LND_GR_6H,45,15,Needs work,
henry/wells/well_2;HENRY_LND_GR_4H,37,23,Needs work,
henry/wells/well_3;HENRY_LND_GR_2H,29,35,Needs work,
Pad Total (henry):281
hoop/pad;HOOP_LND_GR,97,5,Needs work,
hoop/wells/well_1;WAGLER_LND_GR_6H,39,15,Needs work,
hoop/wells/well_2;HOOP_LND_GR_1H,33,21,Needs work,
hoop/wells/well_3;HOOP_LND_GR_2H,31,23,Needs work,
hoop/wells/well_4;HOOP_LND_GR_3H,31,23,Needs work,
hoop/wells/well_5;HOOP_LND_GR_4H,31,23,Needs work,
hoop/wells/well_6;HOOP_LND_GR_5H,13,42,Needs work,
Pad Total (hoop):493
howell/pad;HOWELL_33_SMF_JF,74,53,Needs work,
howell/wells/well_1;HOWELL_33_NE_SMF_JF_7H,18,5,Needs work,
howell/wells/well_2;HOWELL_33_NE_SMF_JF_5H,22,5,Needs work,
howell/wells/well_3;HOWELL_33_NW_SMF_JF_3H,22,5,Needs work,
howell/wells/well_4;HOWELL_33_NW_SMF_JF_1H,23,4,Close,
howell/wells/well_5;HOWELL_33_SE_SMF_JF_10H,29,4,Close,
howell/wells/well_6;HOWELL_33_SE_SMF_JF_8H,29,5,Needs work,
howell/wells/well_7;HOWELL_33_S_SMF_JF_6H,29,5,Needs work,
howell/wells/well_8;HOWELL_33_SW_SMF_JF_4H,27,5,Needs work,
howell/wells/well_9;HOWELL_33_SW_SMF_JF_2H,27,5,Needs work,
Pad Total (howell):451
j_bar_j/pad;J_BAR_J_OXF_GR,60,20,Needs work,
j_bar_j/wells/well_1;J_BAR_J_OXF_GR_2H,43,8,Needs work,
j_bar_j/wells/well_2;J_BAR_J_OXF_GR_4H,38,12,Needs work,
j_bar_j/wells/well_3;J_BAR_J_OXF_GR_6H,38,12,Needs work,
Pad Total (j_bar_j):246
jack_hamilton/pad;JACK_HAMILTON_SMF_JF,43,13,Needs work,
jack_hamilton/wells/well_1;JACK_HAMILTON_S_SMF_JF_2H,34,3,Close,
jack_hamilton/wells/well_2;JACK_HAMILTON_S_SMF_JF_4H,26,12,Needs work,
jack_hamilton/wells/well_3;JACK_HAMILTON_E_SMF_JF_5H,25,12,Needs work,
jack_hamilton/wells/well_4;JACK_HAMILTON_S_SMF_JF_6H,10,26,Needs work,
jack_hamilton/wells/well_5;JACK_HAMILTON_E_SMF_JF_7H,15,25,Needs work,
Pad Total (jack_hamilton):275
jackalope/pad;JACKALOPE_WSG_GR,93,36,Needs work,
jackalope/wells/well_1;JACKALOPE_SW_WSG_GR_2H,18,30,Needs work,
jackalope/wells/well_2;JACKALOPE_SE_WSG_GR_4H,10,37,Needs work,
jackalope/wells/well_3;JACKALOPE_SE_WSG_GR_6H,19,29,Needs work,
jackalope/wells/well_4;JACKALOPE_NW_WSG_GR_1H,10,36,Needs work,
jackalope/wells/well_5;JACKALOPE_NW_WSG_GR_3H,10,36,Needs work,
jackalope/wells/well_6;JACKALOPE_NE_WSG_GR_5H,31,15,Needs work,
Pad Total (jackalope):440
jade/pad;JADE_SMF_JF,58,1,Close,
jade/wells/well_1;JADE_N_SMF_JF_1H,35,4,Close,
jade/wells/well_2;JADE_N_SMF_JF_3H,25,15,Needs work,
Pad Total (jade):150
jeffco/pad;JEFFCO_GRN_HR,62,7,Needs work,
jeffco/wells/well_1;JEFFCO_NE_GRN_HR_7H,32,13,Needs work,
jeffco/wells/well_2;JEFFCO_NE_GRN_HR_5H,22,24,Needs work,
jeffco/wells/well_3;JEFFCO_SE_GRN_HR_4H,16,30,Needs work,
jeffco/wells/well_4;JEFFCO_N_GRN_HR_3H,17,29,Needs work,
jeffco/wells/well_5;JEFFCO_SW_GRN_HR_2H,16,30,Needs work,
jeffco/wells/well_6;JEFFCO_NW_GRN_HR_1H,17,33,Needs work,
Pad Total (jeffco):378
jennings/pad;JENNINGS_WLS_GR,57,14,Needs work,
jennings/wells/well_1;JENNINGS_W_WLS_GR_2H,39,2,Close,
jennings/wells/well_2;JENNINGS_W_WLS_GR_4H,36,3,Close,
jennings/wells/well_3;JENNINGS_E_WLS_GR_6H,34,4,Close,
jennings/wells/well_4;JENNINGS_E_WLS_GR_8H,34,4,Close,
Pad Total (jennings):247
jones/pad;JONES_NTG_HR,64,45,Needs work,
jones/wells/well_1;JONES_N_NTG_HR_1H,37,18,Needs work,
jones/wells/well_2;JONES_N_NTG_HR_3H,38,19,Needs work,
jones/wells/well_3;JONES_N_NTG_HR_5H,32,20,Needs work,
jones/wells/well_4;JONES_N_NTG_HR_7H,33,24,Needs work,
jones/wells/well_5;JONES_N_NTG_HR_9H,29,28,Needs work,
Pad Total (jones):437
kaldor/pad;KALDOR,27,18,Needs work,
kaldor/wells/well_1;KALDOR_1H,19,3,Close,
kaldor/wells/well_2;KALDOR_2H,19,3,Close,
kaldor/wells/well_3;KALDOR_UNIT_B_8H,18,4,Close,
Pad Total (kaldor):111
kaseta/pad;KASETA,0,68,Failed!,
kaseta/wells/well_1;KASETA_UNIT_9H,0,22,Failed!,
kaseta/wells/well_2;KASETA_UNIT_7H,0,22,Failed!,
kaseta/wells/well_3;KASETA_UNIT_B_2H,0,22,Failed!,
kaseta/wells/well_4;KASETA_UNIT_1H,0,22,Failed!,
kaseta/wells/well_5;KASETA_UNIT_3H,0,22,Failed!,
kaseta/wells/well_6;KASETA_UNIT_B_6H,0,25,Failed!,
kaseta/wells/well_7;KASETA_UNIT_B_8H,0,22,Failed!,
Pad Total (kaseta):225
kelpie/pad;KELPIE_WEL_JF,52,26,Needs work,
kelpie/wells/well_1;KELPIE_SE_WEL_JF_4H,38,3,Close,
kelpie/wells/well_2;KELPIE_NE_WEL_JF_3H,36,5,Needs work,
kelpie/wells/well_3;KELPIE_SW_WEL_JF_2H,37,3,Close,
kelpie/wells/well_4;KELPIE_NW_WEL_JF_1H,37,3,Close,
Pad Total (kelpie):260
kemper/pad;KEMPER,20,11,Needs work,
kemper/wells/well_1;KEMPER_B_UNIT_8H,17,2,Close,
kemper/wells/well_2;KEMPER_A_UNIT_1H,14,2,Close,
Pad Total (kemper):66
kirkwood_a/pad;ALBATROSS_KKW_BL,37,8,Needs work,
kirkwood_a/wells/well_1;ALBATROSS_KKW_BL_2H,19,0,Perfect!,
kirkwood_a/wells/well_2;ALBATROSS_KKW_BL_4H,19,0,Perfect!,
kirkwood_a/wells/well_3;ALBATROSS_KKW_BL_6H,19,0,Perfect!,
kirkwood_a/wells/well_4;ALBATROSS_KKW_BL_8H,19,0,Perfect!,
Pad Total (kirkwood_a):121
krinke/pad;KRINKE_MTP_JF,54,2,Close,
krinke/wells/well_1;KRINKE_MTP_JF_2H,15,21,Needs work,
krinke/wells/well_2;KRINKE_MTP_JF_4H,14,26,Needs work,
krinke/wells/well_3;KRINKE_MTP_JF_6H,24,16,Needs work,
krinke/wells/well_4;KRINKE_NW_MTP_JF_1H,56,0,Unable to Process!
krinke/wells/well_5;KRINKE_NW_MTP_JF_3H,57,0,Unable to Process!
krinke/wells/well_6;KRINKE_NE_MTP_JF_5H,56,0,Unable to Process!
Pad Total (krinke):356
krnyaich/pad;KRNYAICH,13,30,Needs work,
krnyaich/wells/well_1;KRNYAICH_UNIT_C_4H,19,3,Close,
krnyaich/wells/well_2;KRNYAICH_UNIT_A_6H,19,3,Close,
krnyaich/wells/well_3;KRNYAICH_UNIT_B_5H,18,4,Close,
krnyaich/wells/well_4;KRNYAICH_UNIT_A_8H,22,0,Unable to Process!
krnyaich/wells/well_5;KRNYAICH_UNIT_C_2H,0,22,Failed!,
krnyaich/wells/well_6;KRNYAICH_UNIT_B_3H,0,22,Failed!,
krnyaich/wells/well_7;KRNYAICH_UNIT_B_1H,22,0,Unable to Process!
Pad Total (krnyaich):197
kroby/pad;KROBY_MDS_GR,71,27,Needs work,
kroby/wells/well_1;KROBY_NE_MDS_GR_7H,36,12,Needs work,
kroby/wells/well_2;KROBY_NE_MDS_GR_5H,30,19,Needs work,
kroby/wells/well_3;KROBY_NW_MDS_GR_3H,29,19,Needs work,
kroby/wells/well_4;KROBY_NW_MDS_GR_1H,30,18,Needs work,
Pad Total (kroby):331
kungle_a/pad;KUNGLE_A_N_YRK_BL,49,8,Needs work,
kungle_a/wells/well_1;KUNGLE_B_N_YRK_BL_3H,13,26,Needs work,
kungle_a/wells/well_2;KUNGLE_A_N_YRK_BL_1H,13,24,Needs work,
Pad Total (kungle_a):143
kungle_b/pad;KUNGLE_B_N_YRK_BL,50,4,Close,
kungle_b/wells/well_1;KUNGLE_C_N_YRK_BL_9H,31,3,Close,
kungle_b/wells/well_2;KUNGLE_C_N_YRK_BL_7H,23,15,Needs work,
kungle_b/wells/well_3;KUNGLE_B_N_YRK_BL_5H-A,23,15,Needs work,
Pad Total (kungle_b):179
kurth/pad;KURTH_RCH_BL,46,2,Close,
kurth/wells/well_1;KURTH_UNIT_D_5H,8,17,Needs work,
kurth/wells/well_2;KURTH_UNIT_C_6H,17,7,Needs work,
kurth/wells/well_3;KURTH_UNIT_A_4H,8,16,Needs work,
kurth/wells/well_4;KURTH_UNIT_B_3H,18,7,Needs work,
kurth/wells/well_5;KURTH_UNIT_C_RCH_BL_1H,14,21,Needs work,
kurth/wells/well_6;KURTH_UNIT_D_RCH_BL_2H,14,21,Needs work,
kurth/wells/well_7;KURTH_UNIT_A_RCH_BL_7H,14,21,Needs work,
Pad Total (kurth):251
lake/pad;LAKE_LND_GR,65,20,Needs work,
lake/wells/well_1;WAGLER_LND_GR_3H,25,28,Needs work,
lake/wells/well_2;WAGLER_LND_GR_5H,33,20,Needs work,
lake/wells/well_3;LAKE_EAST_LND_GR_6H,31,22,Needs work,
lake/wells/well_4;LAKE_LND_GR_4H,31,22,Needs work,
lake/wells/well_5;LAKE_WEST_LND_GR_2H,31,22,Needs work,
Pad Total (lake):375
lavada/pad;LAVADA_RCH_GR,56,14,Needs work,
lavada/wells/well_1;LAVADA_RCH_GR_2H,37,1,Close,
lavada/wells/well_2;LAVADA_RCH_GR_4H,32,7,Needs work,
Pad Total (lavada):157
lawson/pad;LAWSON_LND_GR,64,28,Needs work,
lawson/wells/well_1;LAWSON_LND_GR_2H,43,6,Needs work,
lawson/wells/well_2;LAWSON_LND_GR_4H,43,6,Needs work,
lawson/wells/well_3;LAWSON_LND_GR_6H,43,6,Needs work,
Pad Total (lawson):254
lee/pad;LEE_CLR_BL,49,21,Needs work,
lee/wells/well_1;THEAKER_W_CLR_BL_1H,21,1,Close,
lee/wells/well_2;LEE_CLR_BL_2H,21,2,Close,
lee/wells/well_3;THEAKER_E_CLR_BL_3H,20,1,Close,
lee/wells/well_4;LEE_CLR_BL_4H,16,12,Needs work,
lee/wells/well_5;THEAKER_E_CLR_BL_5H,16,13,Needs work,
lee/wells/well_6;LEE_CLR_BL_6H,13,11,Needs work,
Pad Total (lee):247
liggett/pad;LIGGETT_ATH_HR,162,0,Unable to Process!
liggett/wells/well_1;LIGGETT_NW_ATH_HR_1H,51,0,Unable to Process!
liggett/wells/well_2;LIGGETT_N_ATH_HR_3H,49,0,Unable to Process!
liggett/wells/well_3;LIGGETT_NE_ATH_HR_5H,49,0,Unable to Process!
Pad Total (liggett):311
lincoln/pad;LINCOLN_MDS_GR,51,33,Needs work,
lincoln/wells/well_1;LINCOLN_SE_MDS_GR_8H,37,2,Close,
lincoln/wells/well_2;LINCOLN_S_MDS_GR_6H,35,7,Needs work,
lincoln/wells/well_3;LINCOLN_SW_MDS_GR_4H,35,7,Needs work,
lincoln/wells/well_4;LINCOLN_SW_MDS_GR_2H,34,7,Needs work,
Pad Total (lincoln):268
lodge/pad;LODGE_WSG_GR,225,0,Unable to Process!
lodge/wells/well_1;LODGE_NE_WSG_GR_7H,47,0,Unable to Process!
lodge/wells/well_2;LODGE_NE_WSG_GR_5H,45,0,Unable to Process!
lodge/wells/well_3;LODGE_NW_WSG_GR_3H,45,0,Unable to Process!
lodge/wells/well_4;LODGE_NW_WSG_GR_1H,46,0,Unable to Process!
Pad Total (lodge):408
lori/pad;LORI_SMF_JF,55,0,Perfect!,
lori/wells/well_1;LORI_NW_SMF_JF_1H,34,4,Close,
lori/wells/well_2;LORI_SW_SMF_JF_2H,33,11,Needs work,
lori/wells/well_3;LORI_SW_SMF_JF_4H,22,17,Needs work,
lori/wells/well_4;LORI_SE_SMF_JF_6H,31,16,Needs work,
lori/wells/well_5;LORI_SE_SMF_JF_8H,30,17,Needs work,
lori/wells/well_6;LORI_NE_SMF_JF_3H,10,31,Needs work,
lori/wells/well_7;LORI_NE_SMF_JF_5H,10,32,Needs work,
Pad Total (lori):395
lorraine/pad;LORRAINE_CLR_BL,51,2,Close,
lorraine/wells/well_1;LORRAINE_CLR_BL_2H,32,7,Needs work,
lorraine/wells/well_2;EARLEY-ROSE_CLR_BL_10H,27,12,Needs work,
lorraine/wells/well_3;LORRAINE_CLR_BL_4H,22,14,Needs work,
lorraine/wells/well_4;LORRAINE_CLR_BL_6H,12,24,Needs work,
lorraine/wells/well_5;EARLEY-ROSE_CLR_BL_8H,12,24,Needs work,
Pad Total (lorraine):266
lude/pad;RICHLAND-LUDE_B_RCH_BL_H,0,2,Failed!,
lude/wells/well_1;LUDE_1H-34,0,2,Unable to Process!
lude/wells/well_2;RICHLAND_B_2H-34,0,2,Unable to Process!
Pad Total (lude):2
maldon/pad;MALDON_WRN_BL,74,12,Needs work,
maldon/wells/well_1;MALDON_E_WRN_BL_5H,45,1,Close,
maldon/wells/well_2;MALDON_N_WRN_BL_3H,37,9,Needs work,
maldon/wells/well_3;MALDON_W_WRN_BL_1H,29,21,Needs work,
Pad Total (maldon):247
marquard/pad;MARQUARD_MTP_JF,45,10,Needs work,
marquard/wells/well_1;MARQUARD_W_MTP_JF_1H,35,2,Close,
marquard/wells/well_2;MARQUARD_W_MTP_JF_3H,30,7,Needs work,
Pad Total (marquard):142
matador/pad;MATADOR_MRN_NB_30,63,4,Close,
matador/wells/well_1;BLOOM_MRN_NB_1H,47,1,Close,
matador/wells/well_2;BLOOM_MRN_NB_3H,39,9,Needs work,
matador/wells/well_3;BLOOM_MRN_NB_5H,37,21,Needs work,
matador/wells/well_4;BLOOM_MRN_NB_7H,31,13,Needs work,
Pad Total (matador):289
matusek/pad;MATUSEK_WHL_BL,69,7,Needs work,
matusek/wells/well_1;MATUSEK_E_WHL_BL_6H,29,8,Needs work,
matusek/wells/well_2;MATUSEK_S_WHL_BL_4H,19,16,Needs work,
matusek/wells/well_3;MATUSEK_W_WHL_BL_2H,19,16,Needs work,
Pad Total (matusek):202
miller/pad;MILLER_PLT_BL,0,36,Failed!,
miller/wells/well_1;MILLER_UNIT_C_2H,19,3,Close,
miller/wells/well_2;MILLER_UNIT_B_3H,19,3,Close,
miller/wells/well_3;MILLER_UNIT_A_4H,18,4,Close,
miller/wells/well_4;MILLER_UNIT_A_6H,22,0,Unable to Process!
miller/wells/well_5;MILLER_UNIT_C_8H,0,22,Failed!,
Pad Total (miller):146
miller_farms/pad;MILLER_FARMS_WSG_GR,65,9,Needs work,
miller_farms/wells/well_1;MILLER_FARMS_E_WSG_GR_6H,37,18,Needs work,
miller_farms/wells/well_2;MILLER_FARMS_E_WSG_GR_8H,41,20,Needs work,
